date_time,nmbr_pests,change_pests,user_rvwd,event
06.04.2019 16:57:00,0,0,Yes,latin
06.04.2019 17:57:00,0,0,Yes,
06.04.2019 18:57:00,0,0,Yes,
06.04.2019 19:57:00,0,0,Yes,
06.04.2019 20:58:00,0,0,Yes,
06.05.2019 09:55:00,0,0,Yes,
06.05.2019 10:55:00,0,0,Yes,
06.05.2019 11:56:00,0,0,Yes,
06.05.2019 12:56:00,0,0,Yes,
06.05.2019 13:56:00,0,0,Yes,
06.05.2019 14:56:00,0,0,Yes,
06.05.2019 15:56:00,0,0,Yes,
06.05.2019 16:57:00,0,0,Yes,
06.05.2019 17:57:00,0,0,Yes,
06.05.2019 18:57:00,0,0,Yes,
06.05.2019 19:57:00,0,0,Yes,
06.05.2019 20:57:00,0,0,Yes,
06.05.2019 21:58:00,0,0,Yes,
06.05.2019 22:58:00,0,0,Yes,
06.05.2019 23:58:00,0,0,Yes,
06.06.2019 00:58:00,0,0,Yes,
06.06.2019 01:58:00,0,0,Yes,
06.06.2019 02:59:00,0,0,Yes,
06.06.2019 03:59:00,1,1,Yes,
06.06.2019 04:59:00,1,0,Yes,
06.06.2019 05:59:00,3,2,Yes,
06.06.2019 06:59:00,3,0,Yes,
06.06.2019 08:00:00,3,0,Yes,
06.06.2019 09:00:00,3,0,Yes,
06.06.2019 10:00:00,3,0,Yes,
06.06.2019 10:55:00,3,0,Yes,
06.06.2019 11:55:00,3,0,Yes,
06.06.2019 12:56:00,3,0,Yes,
06.06.2019 13:56:00,3,0,Yes,
06.06.2019 14:56:00,3,0,Yes,
06.06.2019 15:56:00,3,0,Yes,
06.06.2019 16:56:00,3,0,Yes,
06.06.2019 17:57:00,3,0,Yes,
06.06.2019 18:57:00,3,0,Yes,
06.06.2019 19:57:00,3,0,Yes,
06.06.2019 20:57:00,3,0,Yes,
06.06.2019 21:57:00,3,0,Yes,
06.06.2019 22:58:00,3,0,Yes,
06.06.2019 23:58:00,3,0,Yes,
06.07.2019 00:58:00,3,0,No,
06.07.2019 01:58:00,5,2,Yes,
06.07.2019 02:58:00,7,2,Yes,
06.07.2019 03:59:00,8,1,Yes,
06.07.2019 04:59:00,7,0,Yes,
06.07.2019 05:59:00,7,0,Yes,
06.07.2019 06:59:00,7,0,Yes,
06.07.2019 07:59:00,7,0,Yes,
06.07.2019 09:00:00,7,0,Yes,
06.07.2019 10:00:00,7,0,Yes,
06.07.2019 11:00:00,7,0,Yes,
06.07.2019 12:55:00,7,0,Yes,
06.07.2019 13:56:00,7,0,Yes,
06.07.2019 14:56:00,7,0,Yes,
06.07.2019 15:56:00,7,0,Yes,
06.07.2019 16:56:00,7,0,Yes,
06.07.2019 17:56:00,7,0,Yes,
06.07.2019 18:57:00,7,0,Yes,
06.07.2019 19:57:00,7,0,Yes,
06.07.2019 20:57:00,7,0,Yes,
06.07.2019 21:57:00,7,0,Yes,
06.07.2019 22:57:00,7,0,Yes,
06.07.2019 23:58:00,7,0,Yes,
06.08.2019 00:58:00,7,0,Yes,
06.08.2019 01:58:00,7,0,Yes,
06.08.2019 02:58:00,7,0,Yes,
06.08.2019 03:58:00,7,0,Yes,
06.08.2019 04:59:00,7,0,Yes,
06.08.2019 05:59:00,8,1,Yes,
06.08.2019 06:59:00,8,0,Yes,
06.08.2019 07:59:00,8,0,Yes,
06.08.2019 08:59:00,8,0,Yes,
06.08.2019 10:00:00,8,0,Yes,
06.08.2019 11:00:00,8,0,Yes,
06.08.2019 12:00:00,8,0,Yes,
06.08.2019 13:55:00,8,0,Yes,
06.08.2019 14:56:00,8,0,Yes,
06.08.2019 15:56:00,8,0,Yes,
06.08.2019 16:56:00,8,0,Yes,
06.08.2019 17:56:00,8,0,Yes,
06.08.2019 18:56:00,8,0,Yes,
06.08.2019 19:57:00,8,0,Yes,
06.08.2019 20:57:00,8,0,Yes,
06.08.2019 21:57:00,8,0,Yes,
06.08.2019 22:57:00,8,0,Yes,
06.08.2019 23:57:00,8,0,Yes,
06.09.2019 00:58:00,8,0,Yes,
06.09.2019 01:58:00,8,0,Yes,
06.09.2019 02:58:00,8,0,Yes,
06.09.2019 03:58:00,8,0,Yes,
06.09.2019 04:58:00,8,0,Yes,
06.09.2019 05:59:00,8,0,Yes,
06.09.2019 06:59:00,8,0,Yes,
06.09.2019 07:59:00,8,0,Yes,
06.09.2019 08:59:00,8,0,Yes,
06.09.2019 09:59:00,8,0,Yes,
06.09.2019 11:00:00,8,0,Yes,
06.09.2019 12:00:00,8,0,Yes,
06.09.2019 13:00:00,8,0,Yes,
06.09.2019 14:00:00,8,0,Yes,
06.09.2019 14:55:00,8,0,Yes,
06.09.2019 15:56:00,8,0,Yes,
06.09.2019 16:56:00,8,0,Yes,
06.09.2019 17:56:00,8,0,Yes,
06.09.2019 18:56:00,8,0,Yes,
06.09.2019 19:56:00,8,0,Yes,
06.09.2019 20:57:00,8,0,Yes,
06.09.2019 21:57:00,8,0,Yes,
06.09.2019 22:57:00,8,0,Yes,
06.09.2019 23:57:00,8,0,Yes,
06.10.2019 00:57:00,8,0,Yes,
06.10.2019 01:58:00,8,0,Yes,
06.10.2019 02:58:00,8,0,Yes,
06.10.2019 03:58:00,8,0,Yes,
06.10.2019 04:58:00,8,0,Yes,
06.10.2019 05:58:00,8,0,Yes,
06.10.2019 06:59:00,8,0,Yes,
06.10.2019 07:59:00,8,0,Yes,
06.10.2019 08:59:00,8,0,Yes,
06.10.2019 09:59:00,8,0,Yes,
06.10.2019 10:59:00,8,0,Yes,
06.10.2019 11:59:00,8,0,Yes,
06.10.2019 11:59:01,0,0,No,Sticky roll tweak
06.10.2019 13:00:00,0,0,Yes,
06.10.2019 14:00:00,0,0,Yes,
06.10.2019 15:00:00,0,0,Yes,
06.10.2019 15:55:00,0,0,Yes,
06.10.2019 16:56:00,0,0,Yes,
06.10.2019 17:56:00,0,0,Yes,
06.10.2019 18:56:00,0,0,Yes,
06.10.2019 19:56:00,0,0,Yes,
06.10.2019 20:56:00,0,0,Yes,
06.10.2019 21:57:00,0,0,No,
06.10.2019 22:57:00,0,0,No,
06.10.2019 23:57:00,0,0,Yes,
06.11.2019 00:57:00,0,0,Yes,
06.11.2019 01:57:00,0,0,No,
06.11.2019 02:57:00,0,0,Yes,
06.11.2019 03:58:00,0,0,Yes,
06.11.2019 04:58:00,0,0,Yes,
06.11.2019 05:58:00,4,4,Yes,
06.11.2019 06:58:00,4,0,Yes,
06.11.2019 07:58:00,4,0,Yes,
06.11.2019 08:59:00,4,0,Yes,
06.11.2019 09:59:00,4,0,Yes,
06.11.2019 10:59:00,4,0,Yes,
06.11.2019 11:59:00,4,0,Yes,
06.11.2019 13:00:00,4,0,Yes,
06.11.2019 14:00:00,4,0,Yes,
06.11.2019 15:00:00,4,0,Yes,
06.11.2019 16:00:00,4,0,Yes,
06.11.2019 16:55:00,4,0,Yes,
06.11.2019 17:55:00,4,0,Yes,
06.11.2019 18:56:00,4,0,Yes,
06.11.2019 19:56:00,4,0,Yes,
06.11.2019 20:56:00,4,0,Yes,
06.11.2019 21:56:00,4,0,Yes,
06.11.2019 22:57:00,4,0,Yes,
06.11.2019 23:57:00,4,0,Yes,
06.12.2019 00:57:00,4,0,Yes,
06.12.2019 01:57:00,4,0,Yes,
06.12.2019 02:58:00,4,0,Yes,
06.12.2019 03:57:00,4,0,Yes,
06.12.2019 04:58:00,4,0,Yes,
06.12.2019 05:58:00,6,2,Yes,
06.12.2019 06:58:00,6,0,Yes,
06.12.2019 07:58:00,6,0,Yes,
06.12.2019 08:58:00,6,0,Yes,
06.12.2019 09:59:00,6,0,Yes,
06.12.2019 10:59:00,6,0,Yes,
06.12.2019 11:59:00,6,0,Yes,
